program,filename,nfrags,fraglen_distribution,quality_shift,total_sequences,total_reads,dropped_reads,edit_distances
bbmerge,gen_n_1000000_dist_A9180_qs_0_merged.fq.gz,1000000,A9180,0,999996,66294,933706,0:65689 1:602 2:1 218:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-10_merged.fq.gz,1000000,A9180,-10,999996,65472,934528,0:57104 1:7819 2:522 3:23 4:1 217:1 224:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-11_merged.fq.gz,1000000,A9180,-11,999996,63131,936869,0:53429 1:8964 2:707 3:26 4:1 5:1 222:1 227:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-12_merged.fq.gz,1000000,A9180,-12,999996,59161,940839,0:48573 1:9642 2:883 3:57 4:3 216:1 217:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-13_merged.fq.gz,1000000,A9180,-13,999996,52755,947245,0:41698 1:9866 2:1103 3:81 4:6 218:1
bbmerge,gen_n_1000000_dist_A9180_qs_-14_merged.fq.gz,1000000,A9180,-14,999996,43488,956512,0:32893 1:9312 2:1165 3:109 4:6 6:1 222:1 227:1
bbmerge,gen_n_1000000_dist_A9180_qs_-15_merged.fq.gz,1000000,A9180,-15,999996,34386,965614,0:25217 1:7947 2:1103 3:105 4:12 5:1 228:1
bbmerge,gen_n_1000000_dist_A9180_qs_-16_merged.fq.gz,1000000,A9180,-16,999996,25688,974312,0:18058 1:6434 2:1080 3:105 4:9 218:1 219:1
bbmerge,gen_n_1000000_dist_A9180_qs_-17_merged.fq.gz,1000000,A9180,-17,999996,22282,977718,0:14694 1:6276 2:1161 3:136 4:12 5:1 218:1 222:1
bbmerge,gen_n_1000000_dist_A9180_qs_-18_merged.fq.gz,1000000,A9180,-18,999996,18687,981313,0:11445 1:5747 2:1293 3:179 4:19 5:1 6:1 224:1 225:1
bbmerge,gen_n_1000000_dist_A9180_qs_-19_merged.fq.gz,1000000,A9180,-19,999996,15531,984469,0:8761 1:5163 2:1371 3:201 4:29 5:4 221:1 222:1
bbmerge,gen_n_1000000_dist_A9180_qs_-1_merged.fq.gz,1000000,A9180,-1,999996,66770,933230,0:65876 1:888 2:4 218:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-20_merged.fq.gz,1000000,A9180,-20,999996,11505,988495,0:5862 1:4108 2:1263 3:224 4:39 5:6 6:1 218:1 227:1
bbmerge,gen_n_1000000_dist_A9180_qs_-2_merged.fq.gz,1000000,A9180,-2,999996,67433,932567,0:66242 1:1182 2:7 218:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-3_merged.fq.gz,1000000,A9180,-3,999996,67621,932379,0:65961 1:1644 2:14 218:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-4_merged.fq.gz,1000000,A9180,-4,999996,67996,932004,0:65685 1:2281 2:29 218:1
bbmerge,gen_n_1000000_dist_A9180_qs_-5_merged.fq.gz,1000000,A9180,-5,999996,68242,931758,0:65331 1:2839 2:69 3:1 218:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-6_merged.fq.gz,1000000,A9180,-6,999996,68202,931798,0:64477 1:3631 2:90 3:2 218:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-7_merged.fq.gz,1000000,A9180,-7,999996,67997,932003,0:63344 1:4495 2:153 3:3 218:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-8_merged.fq.gz,1000000,A9180,-8,999996,67681,932319,0:61644 1:5749 2:277 3:6 4:1 215:1 218:1 220:1 229:1
bbmerge,gen_n_1000000_dist_A9180_qs_-9_merged.fq.gz,1000000,A9180,-9,999996,66876,933124,0:59882 1:6621 2:359 3:11 4:1 214:1 229:1
bbmerge,gen_n_1000000_dist_cfDNA_qs_0_merged.fq.gz,1000000,cfDNA,0,1000000,748355,251645,0:643760 1:96042 2:7945 3:467 4:25 21:1 41:1 49:1 50:1 55:1 63:1 69:1 70:1 72:1 74:1 75:1 76:1 77:1 80:1 84:2 85:2 88:2 91:1 96:1 97:1 98:1 103:1 104:1 105:1 106:1 108:1 109:1 114:1 118:1 119:1 122:2 126:1 127:2 128:1 131:1 132:1 134:3 135:1 136:1 137:2 142:1 148:1 153:1 157:1 158:1 160:1 173:1 176:1 179:1 192:1 197:1 201:1 203:1 210:1 228:1 258:1 268:1 304:1 308:1 336:2 340:19 341:5 342:3 376:1 378:4 380:1 454:1 470:1 512:1 675:1 678:1 680:2 681:1 849:1 850:3 851:2
bbmerge,gen_n_1000000_dist_cfDNA_qs_-10_merged.fq.gz,1000000,cfDNA,-10,1000000,690051,309949,0:174776 1:224603 2:159840 3:80768 4:33231 5:11642 6:3700 7:1028 8:284 9:82 10:16 11:6 13:2 41:1 55:1 67:1 69:1 73:1 74:1 76:1 77:1 86:1 99:1 102:1 104:1 115:1 120:1 130:1 132:1 136:3 148:1 159:1 161:1 167:1 172:1 173:1 185:1 192:1 193:1 197:1 204:1 236:1 242:1 258:1 301:1 340:12 341:7 342:6 343:1 346:1 378:2 454:1 512:1 680:3 849:1 850:1 851:3
bbmerge,gen_n_1000000_dist_cfDNA_qs_-11_merged.fq.gz,1000000,cfDNA,-11,1000000,640420,359580,0:119900 1:185119 2:159043 3:96924 4:47932 5:20074 6:7435 7:2596 8:861 9:307 10:102 11:31 12:9 13:3 23:1 50:1 56:1 64:1 65:1 72:1 75:1 77:1 87:1 91:1 93:1 101:1 106:1 109:2 110:1 112:1 115:1 120:1 122:1 128:2 134:1 136:2 145:1 149:1 159:1 167:1 179:1 184:1 192:1 197:1 224:1 241:1 298:1 337:2 340:7 341:8 342:12 343:8 366:1 396:1 454:1 513:1 675:1 680:1 681:1 849:1 850:1 851:2
bbmerge,gen_n_1000000_dist_cfDNA_qs_-12_merged.fq.gz,1000000,cfDNA,-12,1000000,554563,445437,0:73617 1:133205 2:136581 3:100499 4:58891 5:29625 6:13363 7:5379 8:2067 9:816 10:277 11:115 12:34 13:23 14:8 80:1 92:1 100:1 107:1 108:1 118:1 121:1 122:1 134:1 137:1 139:2 142:1 148:1 159:1 160:1 170:1 185:1 192:1 197:1 224:1 259:1 337:1 340:6 341:12 342:3 343:4 363:1 379:1 394:1 513:1 675:1 680:2 850:4 851:1 852:2 853:1
bbmerge,gen_n_1000000_dist_cfDNA_qs_-13_merged.fq.gz,1000000,cfDNA,-13,1000000,423941,576059,0:38341 1:79175 2:95425 3:83379 4:58781 5:34732 6:18346 7:8720 8:3964 9:1765 10:722 11:312 12:139 13:65 14:21 15:8 16:2 17:1 18:1 19:1 28:1 75:1 79:1 99:1 107:1 108:1 119:1 130:1 138:1 152:1 155:1 174:1 186:1 195:1 244:1 336:1 340:4 341:9 342:1 343:3 344:1 680:1 683:1 849:1 850:2 853:2
bbmerge,gen_n_1000000_dist_cfDNA_qs_-14_merged.fq.gz,1000000,cfDNA,-14,1000000,286665,713335,0:16568 1:37886 2:53494 3:55370 4:46066 5:32783 6:20322 7:11607 8:6205 9:3180 10:1608 11:769 12:389 13:200 14:95 15:52 16:22 17:11 18:3 19:3 20:2 45:1 54:1 106:1 110:1 117:1 126:1 127:1 139:1 161:1 185:1 194:1 197:1 259:1 338:1 340:3 341:1 342:2 343:2 344:1 347:1 680:1 850:1 851:2 852:2
bbmerge,gen_n_1000000_dist_cfDNA_qs_-15_merged.fq.gz,1000000,cfDNA,-15,1000000,181120,818880,0:7184 1:17226 2:26328 3:30945 4:29648 5:24403 6:17765 7:11498 8:7020 9:3984 10:2271 11:1245 12:708 13:431 14:199 15:144 16:63 17:18 18:9 19:5 20:9 21:2 22:1 77:1 80:1 83:1 94:1 185:1 304:1 340:1 341:2 342:1 343:1 344:1 681:1 854:1
