program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l1000_merged.fq.gz,1000000,1000,999925,890,999110,83.427,759:7 760:7 761:11 762:12 763:8 764:11 765:9 766:6 767:3 768:2 769:3 770:12 771:5 772:3 773:1 774:5 775:2 776:1 777:2 778:3 779:2 780:5 781:2 782:4 783:2 784:3 785:2 787:1 789:3 791:1 793:5 794:3 795:1 796:3 797:1 799:3 802:1 804:3 806:1 807:4 808:1 809:1 810:2 811:2 812:1 813:12 814:1 816:1 817:2 818:3 819:3 823:2 824:2 825:3 826:4 827:3 828:4 829:1 830:6 831:11 832:6 833:2 834:2 835:2 836:8 838:2 839:2 840:8 842:1 843:2 844:2 845:1 847:3 848:7 849:23 850:292 851:207 852:57 853:1 854:2 855:4 858:2 860:2 861:1 862:2 863:2 864:8 865:2 868:2 870:1 873:1 874:1 875:2 876:1 883:1
bbmerge,gen_n1000000_l100_merged.fq.gz,1000000,100,999920,988299,11701,0.03,0:958634 1:29371 2:294
bbmerge,gen_n1000000_l101_merged.fq.gz,1000000,101,999935,988536,11464,0.03,0:958596 1:29642 2:298
bbmerge,gen_n1000000_l102_merged.fq.gz,1000000,102,999917,988899,11101,0.03,0:958485 1:30107 2:306 3:1
bbmerge,gen_n1000000_l103_merged.fq.gz,1000000,103,999903,989071,10929,0.03,0:958504 1:30284 2:282 3:1
bbmerge,gen_n1000000_l104_merged.fq.gz,1000000,104,999925,989469,10531,0.031,0:957932 1:31162 2:375
bbmerge,gen_n1000000_l105_merged.fq.gz,1000000,105,999923,987877,12123,0.031,0:956477 1:31063 2:337
bbmerge,gen_n1000000_l106_merged.fq.gz,1000000,106,999916,989793,10207,0.031,0:957513 1:31912 2:367 3:1
bbmerge,gen_n1000000_l107_merged.fq.gz,1000000,107,999918,990386,9614,0.031,0:957976 1:32037 2:372 3:1
bbmerge,gen_n1000000_l108_merged.fq.gz,1000000,108,999914,990361,9639,0.031,0:957611 1:32353 2:396 3:1
bbmerge,gen_n1000000_l109_merged.fq.gz,1000000,109,999902,990663,9337,0.031,0:957293 1:32926 2:443 3:1
bbmerge,gen_n1000000_l10_merged.fq.gz,1000000,10,999908,6,999994,2300.0,229:1 230:4 231:1
bbmerge,gen_n1000000_l110_merged.fq.gz,1000000,110,999908,990919,9081,0.031,0:957284 1:33235 2:399 3:1
bbmerge,gen_n1000000_l111_merged.fq.gz,1000000,111,999918,991221,8779,0.031,0:957092 1:33677 2:450 3:2
bbmerge,gen_n1000000_l112_merged.fq.gz,1000000,112,999923,991352,8648,0.031,0:957141 1:33724 2:484 3:3
bbmerge,gen_n1000000_l113_merged.fq.gz,1000000,113,999927,991791,8209,0.031,0:957302 1:34061 2:424 3:4
bbmerge,gen_n1000000_l114_merged.fq.gz,1000000,114,999920,991912,8088,0.031,0:956916 1:34520 2:475 3:1
bbmerge,gen_n1000000_l115_merged.fq.gz,1000000,115,999922,992209,7791,0.032,0:956746 1:34924 2:539
bbmerge,gen_n1000000_l116_merged.fq.gz,1000000,116,999925,992398,7602,0.032,0:956461 1:35430 2:505 3:2
bbmerge,gen_n1000000_l117_merged.fq.gz,1000000,117,999908,992558,7442,0.032,0:956060 1:35956 2:539 3:3
bbmerge,gen_n1000000_l118_merged.fq.gz,1000000,118,999928,992839,7161,0.032,0:956330 1:35988 2:517 3:4
bbmerge,gen_n1000000_l119_merged.fq.gz,1000000,119,999913,992978,7022,0.032,0:955637 1:36776 2:562 3:3
bbmerge,gen_n1000000_l11_merged.fq.gz,1000000,11,999915,4,999996,2084.091,228:1 229:1 230:2
bbmerge,gen_n1000000_l120_merged.fq.gz,1000000,120,999910,993327,6673,0.032,0:955731 1:37048 2:547 3:1
bbmerge,gen_n1000000_l121_merged.fq.gz,1000000,121,999922,993268,6732,0.032,0:955350 1:37300 2:616 3:2
bbmerge,gen_n1000000_l122_merged.fq.gz,1000000,122,999929,992857,7143,0.033,0:954047 1:38183 2:627
bbmerge,gen_n1000000_l123_merged.fq.gz,1000000,123,999907,992882,7118,0.033,0:953687 1:38544 2:647 3:4
bbmerge,gen_n1000000_l124_merged.fq.gz,1000000,124,999918,991902,8098,0.032,0:952869 1:38338 2:693 3:2
bbmerge,gen_n1000000_l125_merged.fq.gz,1000000,125,999912,989193,10807,0.032,0:950059 1:38498 2:631 3:5
bbmerge,gen_n1000000_l126_merged.fq.gz,1000000,126,999904,988843,11157,0.034,0:947028 1:41035 2:775 3:5
