program,filename,nfrags,fraglen_distribution,quality_shift,total_sequences,total_reads,dropped_reads,edit_distances
bbmerge,gen_n_1000000_dist_A9180_qs_0_merged.fq,1000000,A9180,0,999996,909594,90406,0:908588 1:1005 2:1
bbmerge,gen_n_1000000_dist_A9180_qs_-10_merged.fq,1000000,A9180,-10,999996,734692,265308,0:711491 1:22702 2:483 3:15 4:1
bbmerge,gen_n_1000000_dist_A9180_qs_-11_merged.fq,1000000,A9180,-11,999996,681315,318685,0:654241 1:26396 2:657 3:19 4:1 5:1
bbmerge,gen_n_1000000_dist_A9180_qs_-12_merged.fq,1000000,A9180,-12,999996,612812,387188,0:584173 1:27825 2:768 3:44 4:2
bbmerge,gen_n_1000000_dist_A9180_qs_-13_merged.fq,1000000,A9180,-13,999996,531498,468502,0:502191 1:28254 2:981 3:67 4:5
bbmerge,gen_n_1000000_dist_A9180_qs_-14_merged.fq,1000000,A9180,-14,999996,438109,561891,0:409675 1:27288 2:1068 3:75 4:2 6:1
bbmerge,gen_n_1000000_dist_A9180_qs_-15_merged.fq,1000000,A9180,-15,999996,354523,645477,0:328643 1:24766 2:1029 3:76 4:8 5:1
bbmerge,gen_n_1000000_dist_A9180_qs_-16_merged.fq,1000000,A9180,-16,999996,284256,715744,0:260681 1:22414 2:1075 3:79 4:7
bbmerge,gen_n_1000000_dist_A9180_qs_-17_merged.fq,1000000,A9180,-17,999996,251289,748711,0:226942 1:23061 2:1196 3:82 4:7 5:1
bbmerge,gen_n_1000000_dist_A9180_qs_-18_merged.fq,1000000,A9180,-18,999996,213513,786487,0:189204 1:22780 2:1388 3:128 4:12 6:1
bbmerge,gen_n_1000000_dist_A9180_qs_-19_merged.fq,1000000,A9180,-19,999996,183300,816700,0:159202 1:22388 2:1538 3:148 4:22 5:2
bbmerge,gen_n_1000000_dist_A9180_qs_-1_merged.fq,1000000,A9180,-1,999996,904692,95308,0:902967 1:1721 2:4
bbmerge,gen_n_1000000_dist_A9180_qs_-20_merged.fq,1000000,A9180,-20,999996,148914,851086,0:126461 1:20718 2:1536 3:170 4:27 5:2
bbmerge,gen_n_1000000_dist_A9180_qs_-2_merged.fq,1000000,A9180,-2,999996,900552,99448,0:897677 1:2870 2:5
bbmerge,gen_n_1000000_dist_A9180_qs_-3_merged.fq,1000000,A9180,-3,999996,895527,104473,0:891190 1:4324 2:13
bbmerge,gen_n_1000000_dist_A9180_qs_-4_merged.fq,1000000,A9180,-4,999996,887303,112697,0:881237 1:6038 2:28
bbmerge,gen_n_1000000_dist_A9180_qs_-5_merged.fq,1000000,A9180,-5,999996,878984,121016,0:870418 1:8503 2:63
bbmerge,gen_n_1000000_dist_A9180_qs_-6_merged.fq,1000000,A9180,-6,999996,864122,135878,0:853146 1:10892 2:83 3:1
bbmerge,gen_n_1000000_dist_A9180_qs_-7_merged.fq,1000000,A9180,-7,999996,841698,158302,0:828096 1:13446 2:154 3:2
bbmerge,gen_n_1000000_dist_A9180_qs_-8_merged.fq,1000000,A9180,-8,999996,812983,187017,0:796502 1:16223 2:252 3:5 4:1
bbmerge,gen_n_1000000_dist_A9180_qs_-9_merged.fq,1000000,A9180,-9,999996,777740,222260,0:758522 1:18880 2:329 3:8 4:1
bbmerge,gen_n_1000000_dist_cfDNA_qs_0_merged.fq,1000000,cfDNA,0,1000000,740633,259367,0:637183 1:95032 2:7836 3:461 4:25 21:1 41:1 50:1 63:1 69:1 70:1 72:1 74:1 75:1 76:1 77:1 84:2 85:2 88:2 96:1 97:1 98:1 103:1 105:1 106:1 108:1 109:1 114:1 118:1 119:1 122:1 127:1 128:1 131:1 132:1 134:2 136:1 137:2 142:1 148:1 157:1 158:1 179:1 192:1 197:1 201:1 210:1 268:1 304:1 308:1 336:2 340:19 341:5 342:3 378:3 380:1 454:1 470:1 512:1 675:1 680:2 681:1 849:1 850:3 851:2
bbmerge,gen_n_1000000_dist_cfDNA_qs_-10_merged.fq,1000000,cfDNA,-10,1000000,633742,366258,0:163043 1:207061 2:145830 3:73085 4:29787 5:10368 6:3270 7:900 8:254 9:70 10:14 11:6 13:2 41:1 55:1 67:1 69:1 73:1 74:1 76:1 77:1 86:1 99:1 104:1 115:1 120:1 132:1 136:3 148:1 161:1 172:1 185:1 192:1 193:1 197:1 236:1 242:1 340:8 341:6 342:3 346:1 378:1 454:1 512:1 680:1 849:1 850:1 851:2
