program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l1000_merged.fq.gz,1000000,1000,999925,832,999168,83.685,759:6 760:6 761:10 762:7 763:5 764:6 765:6 766:4 767:3 768:2 769:2 770:9 771:5 772:3 773:1 774:5 775:2 776:1 777:2 780:4 781:2 782:4 783:2 784:3 785:2 787:1 789:3 793:5 794:3 795:1 796:3 799:3 802:1 804:2 806:1 807:4 808:1 810:1 811:2 812:1 813:11 816:1 817:2 818:2 819:2 823:2 824:2 825:3 826:4 827:3 828:3 829:1 830:6 831:11 832:5 833:2 834:1 835:1 836:7 838:1 839:1 840:6 842:1 843:1 844:2 845:1 847:3 848:6 849:22 850:291 851:204 852:57 853:1 854:2 855:4 858:1 860:2 861:1 862:2 863:2 864:7 865:2 868:2 870:1 873:1 874:1 875:2 876:1 883:1
bbmerge,gen_n1000000_l100_merged.fq.gz,1000000,100,999920,980380,19620,0.03,0:950965 1:29129 2:286
bbmerge,gen_n1000000_l101_merged.fq.gz,1000000,101,999935,981343,18657,0.03,0:951646 1:29403 2:294
bbmerge,gen_n1000000_l102_merged.fq.gz,1000000,102,999917,982313,17687,0.03,0:952126 1:29883 2:303 3:1
bbmerge,gen_n1000000_l103_merged.fq.gz,1000000,103,999903,981975,18025,0.03,0:951644 1:30051 2:279 3:1
bbmerge,gen_n1000000_l104_merged.fq.gz,1000000,104,999925,982794,17206,0.031,0:951499 1:30922 2:373
bbmerge,gen_n1000000_l105_merged.fq.gz,1000000,105,999923,979730,20270,0.031,0:948615 1:30779 2:336
bbmerge,gen_n1000000_l106_merged.fq.gz,1000000,106,999916,980474,19526,0.031,0:948514 1:31593 2:366 3:1
bbmerge,gen_n1000000_l107_merged.fq.gz,1000000,107,999918,983540,16460,0.031,0:951366 1:31803 2:370 3:1
bbmerge,gen_n1000000_l108_merged.fq.gz,1000000,108,999914,984390,15610,0.031,0:951847 1:32148 2:394 3:1
bbmerge,gen_n1000000_l109_merged.fq.gz,1000000,109,999902,985504,14496,0.031,0:952357 1:32705 2:441 3:1
bbmerge,gen_n1000000_l10_merged.fq.gz,1000000,10,999908,507512,492488,0.0,0:507505 1:7
bbmerge,gen_n1000000_l110_merged.fq.gz,1000000,110,999908,983153,16847,0.031,0:949780 1:32975 2:397 3:1
bbmerge,gen_n1000000_l111_merged.fq.gz,1000000,111,999918,984404,15596,0.031,0:950499 1:33455 2:448 3:2
bbmerge,gen_n1000000_l112_merged.fq.gz,1000000,112,999923,985290,14710,0.031,0:951299 1:33505 2:483 3:3
bbmerge,gen_n1000000_l113_merged.fq.gz,1000000,113,999927,985688,14312,0.031,0:951413 1:33849 2:422 3:4
bbmerge,gen_n1000000_l114_merged.fq.gz,1000000,114,999920,986000,14000,0.031,0:951203 1:34326 2:470 3:1
bbmerge,gen_n1000000_l115_merged.fq.gz,1000000,115,999922,984900,15100,0.032,0:949719 1:34646 2:535
bbmerge,gen_n1000000_l116_merged.fq.gz,1000000,116,999925,985528,14472,0.032,0:949865 1:35162 2:499 3:2
bbmerge,gen_n1000000_l117_merged.fq.gz,1000000,117,999908,984791,15209,0.032,0:948558 1:35695 2:535 3:3
bbmerge,gen_n1000000_l118_merged.fq.gz,1000000,118,999928,987530,12470,0.032,0:951223 1:35792 2:511 3:4
bbmerge,gen_n1000000_l119_merged.fq.gz,1000000,119,999913,988077,11923,0.032,0:950962 1:36554 2:558 3:3
bbmerge,gen_n1000000_l11_merged.fq.gz,1000000,11,999915,806863,193137,0.0,0:806855 1:8
bbmerge,gen_n1000000_l120_merged.fq.gz,1000000,120,999910,980961,19039,0.031,0:944901 1:35603 2:457
bbmerge,gen_n1000000_l121_merged.fq.gz,1000000,121,999922,986726,13274,0.032,0:949072 1:37046 2:606 3:2
bbmerge,gen_n1000000_l122_merged.fq.gz,1000000,122,999929,986492,13508,0.033,0:947950 1:37916 2:626
bbmerge,gen_n1000000_l123_merged.fq.gz,1000000,123,999907,985683,14317,0.033,0:946813 1:38224 2:642 3:4
bbmerge,gen_n1000000_l124_merged.fq.gz,1000000,124,999918,984932,15068,0.032,0:946199 1:38044 2:687 3:2
bbmerge,gen_n1000000_l125_merged.fq.gz,1000000,125,999912,984785,15215,0.032,0:945852 1:38297 2:631 3:5
bbmerge,gen_n1000000_l126_merged.fq.gz,1000000,126,999904,981749,18251,0.034,0:940242 1:40734 2:768 3:5
bbmerge,gen_n1000000_l127_merged.fq.gz,1000000,127,999917,981470,18530,0.036,0:937764 1:42830 2:870 3:6
bbmerge,gen_n1000000_l128_merged.fq.gz,1000000,128,999934,981102,18898,0.037,0:935125 1:45053 2:919 3:5
bbmerge,gen_n1000000_l129_merged.fq.gz,1000000,129,999910,980282,19718,0.039,0:931487 1:47726 2:1054 3:15
bbmerge,gen_n1000000_l12_merged.fq.gz,1000000,12,999899,862005,137995,0.0,0:861999 1:6
bbmerge,gen_n1000000_l130_merged.fq.gz,1000000,130,999921,978443,21557,0.042,0:926415 1:50779 2:1229 3:19 4:1
bbmerge,gen_n1000000_l131_merged.fq.gz,1000000,131,999920,978178,21822,0.044,0:923639 1:53236 2:1279 3:24
