,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,ClipAndMerge,100000000,120,-20,0.01,0,1.0,0,57373201,57373201,1.0,0.999999907651708,1.0,0.0,0.0,4.010635548650097e-07
1,ClipAndMerge,100000000,120,-20,0.01,1,0.7943282347242815,128927,497120,626047,0.7940617876932563,0.7927422911426013,0.795376812019534,1.0014570284973587,0.9942707434922762,1.0086797248662964
2,ClipAndMerge,100000000,120,-20,0.01,2,0.6309573444801932,51803,88343,140146,0.6303640489204115,0.6270347827428858,0.6336844528069413,2.0040856360337997,1.9812694798440744,2.027083674080142
3,ClipAndMerge,100000000,120,-20,0.01,3,0.5011872336272722,1050300,1057553,2107853,0.5017204710195635,0.5008331475348071,0.5026077867365757,2.9953817868231347,2.9877078731023414,3.0030693515894114
4,ClipAndMerge,100000000,120,-20,0.01,4,0.3981071705534972,1984487,1310984,3295471,0.3978138481570616,0.39711935809677146,0.39850863329271524,4.003201028769516,3.9956226560846315,4.010789421738485
5,ClipAndMerge,100000000,120,-20,0.01,5,0.31622776601683794,8153639,3772658,11926297,0.31633104558774616,0.3159842138754074,0.31667802383116084,4.99858183152888,4.99382073855794,5.003346135779633
6,ClipAndMerge,100000000,120,-20,0.01,6,0.251188643150958,4289739,1438014,5727753,0.2510607562861038,0.25059417606955203,0.2515277500722657,6.002211672566524,5.994140939542792,6.010290264394243
7,ClipAndMerge,100000000,120,-20,0.01,7,0.19952623149688797,10038205,2499964,12538169,0.1993882838873842,0.1990977144760221,0.19967908142813606,7.0030036454266185,6.996674298522841,7.009337253877035
8,ClipAndMerge,100000000,120,-20,0.01,8,0.15848931924611134,10908638,2051615,12960253,0.15830053626267945,0.15803944906842882,0.15856187432571955,8.005176139087872,7.9980122912705065,8.012344929551467
9,ClipAndMerge,100000000,120,-20,0.01,9,0.12589254117941673,18550364,2669591,21219955,0.12580568620432983,0.1256203084383125,0.12599123175647586,9.002997290707636,8.99659678154521,9.009401445978217
10,ClipAndMerge,100000000,120,-20,0.01,10,0.1,3783436,419216,4202652,0.09975034811352451,0.09937415715735565,0.1001274454803569,10.010855800169638,9.994468637101548,10.027265417916931
11,ClipAndMerge,100000000,120,-20,0.01,11,0.07943282347242814,22621966,1941669,24563635,0.07904648477312091,0.07890631918762214,0.07918681342175726,11.021174385411449,11.0134713324601,11.028882150615589
12,ClipAndMerge,100000000,120,-20,0.01,12,0.06309573444801933,14058280,937108,14995388,0.06249308120603481,0.06233218090003567,0.06265425915007827,12.041680620218319,12.03049400926746,12.052876775957085
13,ClipAndMerge,100000000,120,-20,0.01,13,0.05011872336272722,82826538,4302364,87128902,0.04937929781325604,0.04931952894926239,0.04943911588499217,13.064550901431799,13.059293042967175,13.0698108000236
14,ClipAndMerge,100000000,120,-20,0.01,14,0.039810717055349734,176852731,7103275,183956006,0.03861398795535928,0.038577405574607315,0.03865059419893624,14.13255343220085,14.128438250228745,14.136669830819496
15,ClipAndMerge,100000000,120,-20,0.01,15,0.03162277660168379,73871714,2257401,76129115,0.029652269043190637,0.029602215320404857,0.02970238155200322,15.27942068059165,15.272087273350735,15.28675786730706
16,ClipAndMerge,100000000,120,-20,0.01,16,0.025118864315095794,122131734,2953914,125085648,0.023615131289882272,0.02358017352383812,0.023650125292415503,16.268096355917105,16.261665541371404,16.274530033050482
17,ClipAndMerge,100000000,120,-20,0.01,17,0.0199526231496888,194913905,3712792,198626697,0.018692311034100316,0.018667566785193657,0.018717078338434834,17.28337001065786,17.277619419506223,17.28912286262506
18,ClipAndMerge,100000000,120,-20,0.01,18,0.015848931924611134,9145214327,132582045,9277796372,0.014290251659340902,0.014287077984532881,0.01429342583220039,18.449601229724518,18.448636675206604,18.45056584711832
