,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,ClipAndMerge,100000000,120,0,0.01,2,0.6309573444801932,28175,47910,76085,0.6296904777551423,0.6251665455292545,0.6341981618636356,2.0087287409457883,1.977750210500794,2.0400427038538376
1,ClipAndMerge,100000000,120,0,0.01,13,0.05011872336272722,462989,24539,487528,0.050333519305557836,0.049530334740542026,0.0511454937617396,12.981427027928172,12.911926243295648,13.05128736918028
2,ClipAndMerge,100000000,120,0,0.01,14,0.039810717055349734,8936610,370387,9306997,0.03979661753409827,0.039631748501975705,0.039961957178858976,14.001538386977177,13.98353249896416,14.019567667269182
3,ClipAndMerge,100000000,120,0,0.01,15,0.03162277660168379,12904338,421077,13325415,0.031599541177516795,0.03147623409723055,0.031723182796944194,15.003192232524592,14.986232462659812,15.020172333849791
4,ClipAndMerge,100000000,120,0,0.01,16,0.025118864315095794,36971577,953504,37925081,0.025141778866602817,0.025076343151760327,0.02520733372916928,15.99603997747171,15.984730887918994,16.007357957840963
5,ClipAndMerge,100000000,120,0,0.01,18,0.015848931924611134,3135585,50486,3186071,0.015845849009642282,0.015666205143657574,0.016026940249807664,18.000844866519916,17.951493821662623,18.05036190816828
6,ClipAndMerge,100000000,120,0,0.01,21,0.007943282347242814,724318,5579,729897,0.007643544226103135,0.007383485507583831,0.007910043362583496,21.16705217220077,21.018211357085036,21.317385732229358
7,ClipAndMerge,100000000,120,0,0.01,22,0.00630957344480193,163515,1021,164536,0.0062053289249769045,0.005717901397117808,0.006721546708461923,22.072351929700314,21.72530779080403,22.42763338145022
8,ClipAndMerge,100000000,120,0,0.01,23,0.005011872336272725,2449373,12185,2461558,0.004950116958446642,0.0048356468443844225,0.005066504983756492,23.05384539691095,22.952915258109616,23.155454239269666
9,ClipAndMerge,100000000,120,0,0.01,24,0.003981071705534973,3746723,15120,3761843,0.004019306494183835,0.003935774031392447,0.004104095985165257,23.958488752069425,23.86782490649616,24.049698441168413
10,ClipAndMerge,100000000,120,0,0.01,25,0.0031622776601683794,13424266,42342,13466608,0.003144221618391209,0.003105062883179577,0.003183731808497181,25.024868505930833,24.97063523533429,25.07929600143969
11,ClipAndMerge,100000000,120,0,0.01,26,0.0025118864315095794,6426434,16142,6442576,0.0025055195313179075,0.0024550761688136857,0.0025566990643455245,26.0110220744534,25.92320387494016,26.099350293323273
12,ClipAndMerge,100000000,120,0,0.01,27,0.001995262314968879,14145606,28434,14174040,0.002006061786195044,0.0019755806125648645,0.002036877734780229,26.976556949495336,26.9103503909208,27.043052444549176
13,ClipAndMerge,100000000,120,0,0.01,28,0.001584893192461114,14628374,23117,14651491,0.0015777916390898373,0.0015512103111635644,0.001604697167499003,28.0195034964894,27.94606913971373,28.093293170891272
14,ClipAndMerge,100000000,120,0,0.01,29,0.0012589254117941675,24070701,30243,24100944,0.0012548471130425431,0.0012363500652768922,0.0012735413330970946,29.014091841484273,28.94986955337439,29.07858543897182
15,ClipAndMerge,100000000,120,0,0.01,30,0.001,4691278,4667,4695945,0.000993836171420236,0.0009567813375620515,0.0010319058975918338,30.02685200826211,29.86359905441351,30.191873043766357
16,ClipAndMerge,100000000,120,0,0.01,31,0.0007943282347242813,27871096,22198,27893294,0.0007958185218282215,0.0007821326091920211,0.0008096750002791753,30.991859573306414,30.91689269898104,31.067196068406567
17,ClipAndMerge,100000000,120,0,0.01,32,0.000630957344480193,16681860,10408,16692268,0.0006235222199883204,0.0006078965695541783,0.0006394332264321179,32.05148065286692,31.942048005303832,32.16170307393474
18,ClipAndMerge,100000000,120,0,0.01,33,0.0005011872336272725,97648911,48612,97697523,0.0004975765864606413,0.0004917841693701241,0.0005034177017441133,33.031400636270824,32.98071517364089,33.08225455397739
19,ClipAndMerge,100000000,120,0,0.01,34,0.00039810717055349735,207185485,82139,207267624,0.0003962944063082423,0.0003927424412499825,0.00039986932388447194,34.019820576850094,33.98081911642187,34.05892164671216
20,ClipAndMerge,100000000,120,0,0.01,35,0.00031622776601683794,87867628,27405,87895033,0.00031179236260142255,0.0003069630674248369,0.0003166758291325289,35.061345271224226,34.99385083691452,35.12913873964079
21,ClipAndMerge,100000000,120,0,0.01,36,0.00025118864315095795,144021356,35983,144057339,0.0002497824841815244,0.00024640413799781324,0.00025319387968603113,36.02438019484791,35.96546796485288,36.08352003104501
22,ClipAndMerge,100000000,120,0,0.01,37,0.00019952623149688788,228438363,45199,228483562,0.00019782167086488262,0.00019543335413629848,0.000200230823941272,37.03726134268098,36.98469065532191,37.09001314306249
23,ClipAndMerge,100000000,120,0,0.01,38,0.00015848931924611142,10716320239,1693023,10718013262,0.00015796052482996078,0.00015764802014417434,0.00015827347326258234,38.01451431972862,38.00591867077278,38.023114790604424
