,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,SeqPrep,100000000,120,0,0.01,0,1.0,1185788,1185778,2371566,0.49999789168844555,0.499161367324756,0.5008344160605951,3.010318269239905,3.0030583516575007,3.0175903431707725
1,SeqPrep,100000000,120,0,0.01,1,0.7943282347242815,495075,398185,893260,0.4457660703490585,0.4444111490302003,0.44712156958913707,3.5089299108449366,3.495743788289365,3.522150543631267
2,SeqPrep,100000000,120,0,0.01,2,0.6309573444801932,323180,204794,527974,0.3878865247152322,0.3861592494395125,0.38961582162077124,4.112953076478677,4.09363415491884,4.132335583073332
3,SeqPrep,100000000,120,0,0.01,3,0.5011872336272722,233359,116931,350290,0.3338119843558195,0.33176047086134486,0.3358680155396001,4.764980755472111,4.738313517285549,4.7917536125767874
4,SeqPrep,100000000,120,0,0.01,4,0.3981071705534972,321266,127657,448923,0.28436279718348134,0.2826297176278998,0.28610045040717935,5.461272224105464,5.434814584855495,5.487821753846115
5,SeqPrep,100000000,120,0,0.01,5,0.31622776601683794,254952,79873,334825,0.23855148211752408,0.23665648806330974,0.24045391265991434,6.2241788083021685,6.189681517039803,6.2588158461889645
6,SeqPrep,100000000,120,0,0.01,6,0.251188643150958,84666,21352,106018,0.20139976230451434,0.19823586702896945,0.20459050642291154,6.959410463439635,6.891145226463474,7.028177653728912
7,SeqPrep,100000000,120,0,0.01,7,0.19952623149688797,196557,38927,235484,0.16530634777734368,0.16333928709379153,0.16728694972665137,7.8171046916454,7.765379375956911,7.869093442532598
8,SeqPrep,100000000,120,0,0.01,8,0.15848931924611134,102820,16224,119044,0.13628574308658983,0.13373474923548923,0.13886586831329017,8.655495735319436,8.574044859019537,8.737557323012071
9,SeqPrep,100000000,120,0,0.01,9,0.12589254117941673,334192,42307,376499,0.11236948836517494,0.11104727376389956,0.11370151103459103,9.493515965383029,9.442337637236607,9.544920990140058
10,SeqPrep,100000000,120,0,0.01,10,0.1,306946,30604,337550,0.09066508665382907,0.08939637805270473,0.09194535018526218,10.425599190329171,10.364702287961421,10.486800765462412
11,SeqPrep,100000000,120,0,0.01,11,0.07943282347242814,410240,32361,442601,0.07311551487683038,0.07211105293815612,0.07412916647680312,11.359904573725004,11.300108831449531,11.419981629900063
12,SeqPrep,100000000,120,0,0.01,12,0.06309573444801933,314397,19480,333877,0.058344839566666765,0.057304750893834466,0.05939753738877063,12.339975500184305,12.262315604167576,12.418093710265914
13,SeqPrep,100000000,120,0,0.01,13,0.05011872336272722,610634,30589,641223,0.047704152845421954,0.04702112184939211,0.04839390471375593,13.21443812168585,13.15209334964692,13.277070135099223
14,SeqPrep,100000000,120,0,0.01,14,0.039810717055349734,337772,13143,350915,0.037453514383825146,0.03663275861674442,0.038286839666096806,14.26507424803165,14.169504804065502,14.361303757138549
15,SeqPrep,100000000,120,0,0.01,15,0.03162277660168379,404151,12694,416845,0.030452566301622904,0.0297711995030836,0.031144675089955554,15.163761025821572,15.066161954488688,15.262036669630966
16,SeqPrep,100000000,120,0,0.01,16,0.025118864315095794,189648,4648,194296,0.023922262939020875,0.02303840427694026,0.024829524508104606,16.21197740425901,16.050315972188407,16.37547605010946
17,SeqPrep,100000000,120,0,0.01,17,0.0199526231496888,365950,7186,373136,0.019258393722396124,0.018683663236434223,0.019845420147895698,17.15379938737501,17.023397021999443,17.285379692517566
18,SeqPrep,100000000,120,0,0.01,18,0.015848931924611134,642760,10062,652822,0.01541308350515148,0.015023122531742539,0.015810125207911474,18.121104686592737,18.010646906693264,18.232397905432908
19,SeqPrep,100000000,120,0,0.01,19,0.012589254117941675,1079649,13372,1093021,0.012233982695666414,0.011964808061432963,0.012507412606393431,19.124321381247867,19.028325229993154,19.22094263914659
20,SeqPrep,100000000,120,0,0.01,20,0.01,1400921,13870,1414791,0.009803568159537345,0.009591498062176407,0.010018941976538853,20.08615827373098,19.99178138549796,20.181135566117504
21,SeqPrep,100000000,120,0,0.01,21,0.007943282347242814,1356956,10778,1367734,0.00788018722938817,0.007686788501461983,0.008077017798492903,21.034634637637254,20.927489601075614,21.142550681842284
22,SeqPrep,100000000,120,0,0.01,22,0.00630957344480193,8297291,51769,8349060,0.006200578268691326,0.006130821381322704,0.006270898478058173,22.075678061161533,22.026702301249887,22.124813366595756
23,SeqPrep,100000000,120,0,0.01,23,0.005011872336272725,7823175,38874,7862049,0.004944512556459518,0.0048803116136564295,0.005009313346915567,23.05876515891719,23.002218010954696,23.115524468967106
24,SeqPrep,100000000,120,0,0.01,24,0.003981071705534973,5885545,23006,5908551,0.003893678839363492,0.0038279988873659576,0.003960158983946194,24.096398730636363,24.022873786036357,24.170281971258355
25,SeqPrep,100000000,120,0,0.01,25,0.0031622776601683794,2546245,7837,2554082,0.0030684214524044255,0.0029800078031980703,0.003158691671998559,25.13084989611251,25.004927646250323,25.257825987152124
26,SeqPrep,100000000,120,0,0.01,26,0.0025118864315095794,7552,14,7566,0.0018503832936822627,0.0008238775343696325,0.003543909564588499,27.327383012784875,24.50517369206349,30.841373393954015
27,SeqPrep,100000000,120,0,0.01,27,0.001995262314968879,483251,341,483592,0.0007051398699730352,0.0006106945795212315,0.0008095487548652747,31.517247287781366,30.917569908496517,32.141759347519084
28,SeqPrep,100000000,120,0,0.01,28,0.001584893192461114,1267991,712,1268703,0.0005612030554038258,0.0005085225129128901,0.0006176661202030864,32.508799731721716,32.09246219631022,32.93689815568352
29,SeqPrep,100000000,120,0,0.01,29,0.0012589254117941675,4016876,1806,4018682,0.00044940107229186085,0.00042263512213291943,0.0004773570592311316,33.4736589566882,33.211566506366125,33.7403441472643
30,SeqPrep,100000000,120,0,0.01,30,0.001,4952997,1742,4954739,0.0003515825959752875,0.0003302672441852783,0.0003738634593455359,34.53972631490678,34.27286979831325,34.81134497380368
31,SeqPrep,100000000,120,0,0.01,31,0.0007943282347242813,7008813,2006,7010819,0.0002861291954620423,0.00026994374177979896,0.0003029967968469771,35.43437826287149,35.185619626496276,35.68726736509112
32,SeqPrep,100000000,120,0,0.01,32,0.000630957344480193,3544553,786,3545339,0.00022169953282323636,0.00020186244899600414,0.00024289047437253686,36.542352220524236,36.145895169304126,36.949444621884986
33,SeqPrep,100000000,120,0,0.01,33,0.0005011872336272725,532966,93,533059,0.00017446474030079223,0.00013139214501634022,0.00022669914503359312,37.582923316853154,36.44550117755674,38.81430597318305
34,SeqPrep,100000000,120,0,0.01,34,0.00039810717055349735,31971,7,31978,0.00021890049408968665,6.371454508191654e-05,0.0005357082576132877,36.59753258166275,32.710716591932325,41.95761413383032
35,SeqPrep,100000000,120,0,0.01,35,0.00031622776601683794,150985,25,151010,0.00016555195020197337,9.268153148611624e-05,0.0002714935482580616,37.810656988927825,35.66240486477399,40.33006798463481
36,SeqPrep,100000000,120,0,0.01,36,0.00025118864315095795,1005572,170,1005742,0.00016902943299573848,0.00013750691188330055,0.0002053754936943708,37.72037665358763,36.87451379571571,38.61675471162212
37,SeqPrep,100000000,120,0,0.01,37,0.00019952623149688788,791972,52,792024,6.565457612395584e-05,4.457381102596081e-05,9.295489274063762e-05,41.82734998194143,40.31727745920734,43.50920232488023
38,SeqPrep,100000000,120,0,0.01,38,0.00015848931924611142,1249720,84,1249804,6.721053861245443e-05,4.982482067705796e-05,8.850990425979255e-05,41.7256262423202,40.530081290230235,43.02554255680246
39,SeqPrep,100000000,120,0,0.01,39,0.00012589254117941674,3571928,161,3572089,4.507166534764391e-05,3.644813684089421e-05,5.5054348360839e-05,43.46096394937001,42.592083734308815,44.383246670826196
40,SeqPrep,100000000,120,0,0.01,40,0.0001,4343866,175,4344041,4.028507097423804e-05,3.2873670312016934e-05,4.881320599858796e-05,43.9485586687924,43.114626674147594,44.83151804671997
41,SeqPrep,100000000,120,0,0.01,41,7.943282347242822e-05,5369684,145,5369829,2.700272206060938e-05,2.157652136869359e-05,3.333404465666323e-05,45.68592453755297,44.77111987104635,46.66018572264704
42,SeqPrep,100000000,120,0,0.01,42,6.309573444801929e-05,4673786,121,4673907,2.588840556733371e-05,2.0228272403333136e-05,3.259046901904483e-05,45.86894696364353,44.869093894299965,46.940412065884416
43,SeqPrep,100000000,120,0,0.01,43,5.011872336272725e-05,6484000,113,6484113,1.7427210167373702e-05,1.3494152369952772e-05,2.2111917786782342e-05,47.587721313002184,46.55373589031527,48.698543902933594
44,SeqPrep,100000000,120,0,0.01,44,3.9810717055349695e-05,6295515,87,6295602,1.381917090692836e-05,1.0301321875960667e-05,1.8113682563991595e-05,48.59518012052063,47.419932473868315,49.87107042615175
