,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,bbmerge,100000000,120,-10,0.01,0,1.0,0,5947285,5947285,1.0,0.999999109120379,1.0,0.0,0.0,3.869042757667941e-06
1,bbmerge,100000000,120,-10,0.01,1,0.7943282347242815,1077773,967997,2045770,0.4731700044482029,0.47227067250290655,0.4740694612049253,3.24982794296694,3.241580203346204,3.2580902280275663
2,bbmerge,100000000,120,-10,0.01,2,0.6309573444801932,739430,501738,1241168,0.4042466450955874,0.4031119706726487,0.4053820538024293,3.9335357568258713,3.9213548136351246,3.945743049978186
3,bbmerge,100000000,120,-10,0.01,3,0.5011872336272722,551999,287302,839301,0.3423110421648491,0.34097727254413623,0.3436466002449752,4.655790912976628,4.6388794828380435,4.672745674521137
4,bbmerge,100000000,120,-10,0.01,4,0.3981071705534972,890906,343196,1234102,0.27809370700314884,0.2770552499275777,0.2791338755919516,5.558088386968962,5.541874544827088,5.57433615967982
5,bbmerge,100000000,120,-10,0.01,5,0.31622776601683794,834490,234255,1068745,0.21918699034849287,0.2181570064854339,0.22021947538229347,6.591852265906506,6.571442762949989,6.612308343429996
6,bbmerge,100000000,120,-10,0.01,6,0.251188643150958,1124424,142151,1266575,0.11223259577995776,0.11151120376455759,0.11295690251421786,9.498809923536731,9.470872252815333,9.5268149594604
7,bbmerge,100000000,120,-10,0.01,7,0.19952623149688797,3200744,243752,3444496,0.07076565047542514,0.07041019820873606,0.07112228889803696,11.501774969561712,11.47994275100395,11.52364433116212
8,bbmerge,100000000,120,-10,0.01,8,0.15848931924611134,332978,45444,378422,0.12008815555121002,0.11873049147402659,0.121455383134638,9.204998255065107,9.15583231671049,9.254377344710372
9,bbmerge,100000000,120,-10,0.01,9,0.12589254117941673,1040307,112059,1152366,0.09724254273381894,0.09653282852609335,0.0979555846705944,10.121436935881771,10.089707988475753,10.153249682812795
10,bbmerge,100000000,120,-10,0.01,10,0.1,792331,77040,869371,0.08861579233721852,0.08783237774296604,0.0894037131353943,10.524888750233254,10.486444436120854,10.563453601412798
