,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,fastp,100000000,120,-20,0.01,0,1.0,1,134149947,134149948,0.999999992545655,0.9999999446132524,0.9999999999626348,3.237380924856153e-08,1.622750974196858e-10,2.4054159533600915e-07
1,fastp,100000000,120,-20,0.01,1,0.7943282347242815,715851,2768050,3483901,0.7945260212617982,0.7939678835509654,0.7950833544470858,0.9989187478718289,0.9958733866583283,1.0019706467453149
2,fastp,100000000,120,-20,0.01,2,0.6309573444801932,136799,234028,370827,0.6310975198677551,0.6290535341346732,0.6331381393488118,1.9990352654343826,1.9850152440328785,2.013123933624364
3,fastp,100000000,120,-20,0.01,3,0.5011872336272722,5337359,5363857,10701216,0.5012380835972285,0.5008443329734489,0.5016318331202406,2.999559391388138,2.9961491135239307,3.0029723588073134
4,fastp,100000000,120,-20,0.01,4,0.3981071705534972,3951948,2336794,6288742,0.371583696707545,0.371087365398174,0.3720802223199847,4.29943348998297,4.293634140031145,4.305238320464331
5,fastp,100000000,120,-20,0.01,5,0.31622776601683794,14303188,5564995,19868183,0.28009581953216356,0.2798363522387577,0.28035539213332994,5.52693373031704,5.522910866094288,5.530958690035637
6,fastp,100000000,120,-20,0.01,6,0.251188643150958,7501652,2111399,9613051,0.2196388014585588,0.21929494339308342,0.2199829370314197,6.582909348468097,6.576110039072654,6.589713823753712
7,fastp,100000000,120,-20,0.01,7,0.19952623149688797,16464734,3479219,19943953,0.17444981945154003,0.17423098581103358,0.17466880840312593,7.583294756927431,7.577846425148097,7.588746061018192
8,fastp,100000000,120,-20,0.01,8,0.15848931924611134,17618314,2793546,20411860,0.13685896336737563,0.13666306989608623,0.13705502611444698,8.637267538730525,8.631050332821266,8.643488278402033
9,fastp,100000000,120,-20,0.01,9,0.12589254117941673,30378836,3732788,34111624,0.1094286217507557,0.10929098319569508,0.109566369246206,9.60869070665604,9.603227295389221,9.614156670520154
10,fastp,100000000,120,-20,0.01,10,0.1,4285733,352517,4638250,0.0760021559855549,0.07568553486310314,0.07631964715276063,11.191740877277777,11.17363646165115,11.209871156045663
11,fastp,100000000,120,-20,0.01,11,0.07943282347242814,33556931,2478969,36035900,0.06879164943847663,0.06868308977301918,0.06890032295983828,11.624642772135678,11.617787423979342,11.631501759282813
12,fastp,100000000,120,-20,0.01,12,0.06309573444801933,14418523,680443,15098966,0.045065536275795307,0.04492813072314206,0.04520322855887948,13.461554565017986,13.448305453826041,13.474816502588
13,fastp,100000000,120,-20,0.01,13,0.05011872336272722,77803387,3076875,80880262,0.03804234709328711,0.03798757730721014,0.038097171223709037,14.197326963030324,14.191072701916363,14.2035840309336
14,fastp,100000000,120,-20,0.01,14,0.039810717055349734,173263784,5228809,178492593,0.029294263207885606,0.029261761071985415,0.02932679043420361,15.332174206390071,15.32735464226639,15.336995401098811
15,fastp,100000000,120,-20,0.01,15,0.03162277660168379,66534894,1928879,68463773,0.028173717507505757,0.028122231621549698,0.02822526896774702,15.501558443001429,15.493619108502301,15.509502191262765
16,fastp,100000000,120,-20,0.01,16,0.025118864315095794,107401593,2401686,109803279,0.021872625497823248,0.02183668679826445,0.021908605628954025,16.600990829532456,16.593852621892367,16.608132549043706
17,fastp,100000000,120,-20,0.01,17,0.0199526231496888,158823999,2749455,161573454,0.01701674954599906,0.016990552093814948,0.01704297544017186,17.691233930793544,17.68454581843924,17.697925088648155
18,fastp,100000000,120,-20,0.01,18,0.015848931924611134,2909465124,39163294,2948628418,0.013281868193674853,0.013276438392094803,0.013287299565627797,18.76740833918265,18.76563273603049,18.76918415488783
