,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,fastp,100000000,120,0,0.01,2,0.6309573444801932,192881,29431,222312,0.132386016049516,0.1305401682487839,0.13424762127189738,8.78157887050949,8.720934008063681,8.842558318922917
1,fastp,100000000,120,0,0.01,13,0.05011872336272722,42838019,180715,43018734,0.00420084421824222,0.004175486909163917,0.00422631123864603,23.76663423297098,23.740385233155884,23.792928735616567
2,fastp,100000000,120,0,0.01,14,0.039810717055349734,83631464,300886,83932350,0.0035848632857295192,0.003568081610428986,0.003601701254319356,24.455274021678456,24.434923128883025,24.475652208447826
3,fastp,100000000,120,0,0.01,15,0.03162277660168379,144698034,4727668,149425702,0.031638921127504556,0.031602049038533364,0.03167582303847727,14.997783341617188,14.99272091948063,15.002847573411513
4,fastp,100000000,120,0,0.01,16,0.025118864315095794,180984515,4664797,185649312,0.025126928560877188,0.025097350134653307,0.025156531324028397,15.998605949961906,15.993492412349193,16.003721304173524
5,fastp,100000000,120,0,0.01,18,0.015848931924611134,8725048,140085,8865133,0.015801793385389704,0.015694109865686423,0.015909996877798704,18.012936210721747,17.98329905580001,18.042633114633535
6,fastp,100000000,120,0,0.01,21,0.007943282347242814,10741924,85799,10827723,0.007924011354926609,0.007854775926277813,0.007993679520351238,21.010549107990087,20.97253267300959,21.048661995952507
7,fastp,100000000,120,0,0.01,22,0.00630957344480193,1147138,7294,1154432,0.006318258676128174,0.0061299033246415835,0.006510695137428857,21.994025975958994,21.863726399675173,22.12546374732119
8,fastp,100000000,120,0,0.01,23,0.005011872336272725,33058831,166745,33225576,0.005018573643388455,0.004987051908866169,0.005050237195845186,22.994196985576085,22.96688223776875,23.02156111305035
9,fastp,100000000,120,0,0.01,24,0.003981071705534973,20171967,80292,20252259,0.003964594764465534,0.0039287185172582895,0.004000704239698338,24.018011968837165,23.978635535484504,24.057490861743723
10,fastp,100000000,120,0,0.01,25,0.0031622776601683794,64095030,203021,64298051,0.0031574985064477304,0.003139505485135974,0.003175565082127574,25.006568462015032,24.981789821158262,25.031387538344248
11,fastp,100000000,120,0,0.01,26,0.0025118864315095794,30770838,77483,30848321,0.002511741238688485,0.002488588135714065,0.002535047909402399,26.00025103946857,25.960138286018562,26.040469736957412
12,fastp,100000000,120,0,0.01,27,0.001995262314968879,63108456,126481,63234937,0.0020001759470401623,0.001985733191415706,0.0020146936798380866,26.989317996021718,26.95790975959043,27.020791049242607
13,fastp,100000000,120,0,0.01,28,0.001584893192461114,64308045,102119,64410164,0.0015854485326259999,0.0015727081519971708,0.001598262590006172,27.99847851624481,27.963518658093665,28.033518620790584
14,fastp,100000000,120,0,0.01,29,0.0012589254117941675,106897017,134632,107031649,0.0012578709312420291,0.0012490636084265816,0.0012667226159984724,29.003639190855722,28.973184755111838,29.03415444664087
15,fastp,100000000,120,0,0.01,30,0.001,14528282,14889,14543171,0.001023779476979264,0.001002307588693907,0.0010455784857538175,29.89793580708799,29.806433615546418,29.989989814895452
16,fastp,100000000,120,0,0.01,31,0.0007943282347242813,112230353,91119,112321472,0.0008112340265626148,0.0008043310909852108,0.0008181792794025311,30.908538414938988,30.87151523316123,30.945651435536536
17,fastp,100000000,120,0,0.01,32,0.000630957344480193,46706819,30323,46737142,0.0006487987648025205,0.0006392448828034247,0.0006584544459435904,31.878899856155808,31.814742655915946,31.943327398430906
18,fastp,100000000,120,0,0.01,33,0.0005011872336272725,249994866,129498,250124364,0.0005177344498914948,0.000514037018527036,0.0005214508927804395,32.85892936235057,32.82786584646217,32.89005604033687
19,fastp,100000000,120,0,0.01,34,0.00039810717055349735,549151815,223705,549375520,0.00040719870444900786,0.00040498495925378464,0.0004094211057333874,33.90193612428523,33.878297731359325,33.925611057591134
20,fastp,100000000,120,0,0.01,35,0.00031622776601683794,212073898,68165,212142063,0.00032131770114821593,0.00031815697198789294,0.00032450086087010277,34.93065348836157,34.887841467198854,34.973585553361545
21,fastp,100000000,120,0,0.01,36,0.00025118864315095795,339795856,86992,339882848,0.00025594701383695596,0.00025371756577985405,0.00025819046237451904,35.918499330475015,35.880598047288615,35.9564946396797
22,fastp,100000000,120,0,0.01,37,0.00019952623149688788,499326233,101266,499427499,0.00020276416537488257,0.00020112683442974344,0.0002044110246515185,36.930087956655164,36.89495684779003,36.965299817787724
23,fastp,100000000,120,0,0.01,38,0.00015848931924611142,9102580045,1480701,9104060746,0.00016264181899824947,0.00016229777019782787,0.00016298639021483652,37.88767777160938,37.87848658794613,37.89687446886223
