quality_shift,read,quality_score,count
0,s1,0,0
0,s1,1,0
0,s1,2,534878
0,s1,3,0
0,s1,4,0
0,s1,5,0
0,s1,6,0
0,s1,7,0
0,s1,8,0
0,s1,9,0
0,s1,10,0
0,s1,11,0
0,s1,12,0
0,s1,13,55864985
0,s1,14,95097524
0,s1,15,160459015
0,s1,16,185749157
0,s1,17,0
0,s1,18,8866913
0,s1,19,0
0,s1,20,0
0,s1,21,14653231
0,s1,22,1192299
0,s1,23,39545239
0,s1,24,22181550
0,s1,25,65947411
0,s1,26,32304984
0,s1,27,66133766
0,s1,28,68869626
0,s1,29,109951281
0,s1,30,14556312
0,s1,31,121102030
0,s1,32,48091911
0,s1,33,258861376
0,s1,34,565624652
0,s1,35,231206139
0,s1,36,361581451
0,s1,37,515280634
0,s1,38,9456343636
0,s1,39,0
0,s1,40,0
0,s1,41,0
0,s2,0,0
0,s2,1,0
0,s2,2,1235527
0,s2,3,0
0,s2,4,0
0,s2,5,0
0,s2,6,0
0,s2,7,0
0,s2,8,0
0,s2,9,0
0,s2,10,0
0,s2,11,0
0,s2,12,0
0,s2,13,52505319
0,s2,14,131720375
0,s2,15,200341696
0,s2,16,234497443
0,s2,17,0
0,s2,18,12947109
0,s2,19,0
0,s2,20,0
0,s2,21,12437945
0,s2,22,3176075
0,s2,23,35175497
0,s2,24,32890818
0,s2,25,81400603
0,s2,26,37203069
0,s2,27,84341889
0,s2,28,77738202
0,s2,29,116096605
0,s2,30,18692771
0,s2,31,130365172
0,s2,32,49623525
0,s2,33,319753467
0,s2,34,486247028
0,s2,35,223465766
0,s2,36,347576409
0,s2,37,480921881
0,s2,38,9329645809
0,s2,39,0
0,s2,40,0
0,s2,41,0
-10,s1,0,535119
-10,s1,1,0
-10,s1,2,0
-10,s1,3,55863931
-10,s1,4,95100997
-10,s1,5,160462249
-10,s1,6,185718668
-10,s1,7,0
-10,s1,8,8862939
-10,s1,9,0
-10,s1,10,0
-10,s1,11,14648473
-10,s1,12,1189734
-10,s1,13,39538463
-10,s1,14,22189857
-10,s1,15,65959768
-10,s1,16,32307986
-10,s1,17,66142667
-10,s1,18,68867704
-10,s1,19,109955289
-10,s1,20,14559109
-10,s1,21,121112725
-10,s1,22,48066114
-10,s1,23,258853622
-10,s1,24,565604840
-10,s1,25,231196008
-10,s1,26,361585774
-10,s1,27,515247556
-10,s1,28,9456430408
-10,s1,29,0
-10,s1,30,0
-10,s1,31,0
-10,s1,32,0
-10,s1,33,0
-10,s1,34,0
-10,s1,35,0
-10,s1,36,0
-10,s1,37,0
-10,s1,38,0
-10,s1,39,0
-10,s1,40,0
-10,s1,41,0
-10,s2,0,1237575
-10,s2,1,0
-10,s2,2,0
-10,s2,3,52499076
-10,s2,4,131723858
-10,s2,5,200343183
-10,s2,6,234489721
-10,s2,7,0
-10,s2,8,12957440
-10,s2,9,0
-10,s2,10,0
-10,s2,11,12435024
-10,s2,12,3181344
-10,s2,13,35171531
-10,s2,14,32891914
-10,s2,15,81397439
-10,s2,16,37205233
-10,s2,17,84338591
-10,s2,18,77741693
-10,s2,19,116112357
-10,s2,20,18695051
-10,s2,21,130403701
-10,s2,22,49628699
-10,s2,23,319758529
-10,s2,24,486223496
-10,s2,25,223461597
-10,s2,26,347595412
-10,s2,27,480950551
-10,s2,28,9329556985
-10,s2,29,0
-10,s2,30,0
-10,s2,31,0
-10,s2,32,0
-10,s2,33,0
-10,s2,34,0
-10,s2,35,0
-10,s2,36,0
-10,s2,37,0
-10,s2,38,0
-10,s2,39,0
-10,s2,40,0
-10,s2,41,0
-20,s1,0,506560936
-20,s1,1,14645020
-20,s1,2,1190733
-20,s1,3,39534457
-20,s1,4,22200212
-20,s1,5,65948244
-20,s1,6,32314155
-20,s1,7,66129560
-20,s1,8,68858142
-20,s1,9,109960094
-20,s1,10,14560664
-20,s1,11,121102271
-20,s1,12,48081452
-20,s1,13,258840665
-20,s1,14,565631369
-20,s1,15,231215673
-20,s1,16,361566953
-20,s1,17,515246852
-20,s1,18,9456412548
-20,s1,19,0
-20,s1,20,0
-20,s1,21,0
-20,s1,22,0
-20,s1,23,0
-20,s1,24,0
-20,s1,25,0
-20,s1,26,0
-20,s1,27,0
-20,s1,28,0
-20,s1,29,0
-20,s1,30,0
-20,s1,31,0
-20,s1,32,0
-20,s1,33,0
-20,s1,34,0
-20,s1,35,0
-20,s1,36,0
-20,s1,37,0
-20,s1,38,0
-20,s1,39,0
-20,s1,40,0
-20,s1,41,0
-20,s2,0,633232231
-20,s2,1,12431020
-20,s2,2,3176889
-20,s2,3,35179453
-20,s2,4,32886649
-20,s2,5,81392261
-20,s2,6,37202801
-20,s2,7,84335865
-20,s2,8,77724582
-20,s2,9,116118693
-20,s2,10,18697008
-20,s2,11,130412005
-20,s2,12,49628235
-20,s2,13,319771437
-20,s2,14,486218315
-20,s2,15,223434851
-20,s2,16,347570250
-20,s2,17,480928018
-20,s2,18,9329659437
-20,s2,19,0
-20,s2,20,0
-20,s2,21,0
-20,s2,22,0
-20,s2,23,0
-20,s2,24,0
-20,s2,25,0
-20,s2,26,0
-20,s2,27,0
-20,s2,28,0
-20,s2,29,0
-20,s2,30,0
-20,s2,31,0
-20,s2,32,0
-20,s2,33,0
-20,s2,34,0
-20,s2,35,0
-20,s2,36,0
-20,s2,37,0
-20,s2,38,0
-20,s2,39,0
-20,s2,40,0
-20,s2,41,0
